Call type,Call Sub-type,Batallion 1 Total Calls,Batallion 1 Total Units Resp.,Batallion 2 Total Calls,Batallion 2 Total Units Resp.,Batallion 3 Total Calls,Batallion 3 Total Units Resp.,Batallion 4 Total Calls,Batallion 4 Total Units Resp.,Other Total Calls,Other Total Units Resp.,Week #,Year
NON-STRUCTURE FIRE,"Rubbish, Dumpsters (No Value)",,,1,13,,,,,,,5,2014
NON-STRUCTURE FIRE,All Other Fires,,,,,,,,,,,5,2014
EMERGENCY RESPONSE,Emergency Medical Responses,47,52,95,96,47,49,43,51,,,5,2014
EMERGENCY RESPONSE,Other Rescue,,,,,,,,,,,5,2014
HAZARD,Hazardous Materials,9,49,5,12,3,11,4,21,,,5,2014
HAZARD,Other HazMat Responses,3,13,5,24,2,12,1,1,,,5,2014
FALSE ALARM,False Alarms (system malfunction/accidental),12,48,21,107,8,37,17,86,,,5,2014
FALSE ALARM,False Alarms (intentional/malicious),,,,,,,,,,,5,2014
FALSE ALARM,Other False alarms,38,115,39,95,33,63,25,33,,,5,2014
TRAINING,Training ,,,,,,,,,,,5,2014
TRAINING,Fire safety/prevention events,,,,,,,,,,,5,2014
TRAINING,Other events,,,,,,,,,,,5,2014
INSPECTION,Initial Inspections,,,,,,,,,11,,5,2014
INSPECTION,Re-inspections/follow ups,,,,,,,,,63,,5,2014
INSPECTION,Registrations,,,,,,,,,,,5,2014
MUTUAL AID,Mutual Aid Served Outide Jersey City,2,2,,,,,,,,,5,2014
MUTUAL AID,Mutual Aid Requested with Jersey City,,,,,,,,,,,5,2014
FINES,Fines Imposed,,,,,,,,,,,5,2014
FINES,Fines collected,,,,,,,,,,,5,2014
RESIDENTIAL,Private Dwellings,,,3,35,1,15,,,,,6,2014
RESIDENTIAL,Apartments,2,14,6,68,1,4,4,34,,,6,2014
RESIDENTIAL,Hotels and Motels,,,,,,,1,12,,,6,2014
RESIDENTIAL,All Other Residential,,,,,,,,,,,6,2014
STRUCTURE FIRE,Public Assembly,1,4,,,,,,,,,6,2014
STRUCTURE FIRE,Schools and Colleges,,,,,,,,,,,6,2014
STRUCTURE FIRE,Health Care and Penal Institutions,,,,,,,,,,,6,2014
STRUCTURE FIRE,Stores and Offices,,,,,,,,,,,6,2014
STRUCTURE FIRE,"Industry, Utility, Defense, Labs, Manuf.",,,,,,,,,,,6,2014
STRUCTURE FIRE,Storage in Structures,,,,,,,,,,,6,2014
STRUCTURE FIRE,Other Structures,,,,,,,,,,,6,2014
NON-STRUCTURE FIRE,Highway vehicles,,,2,5,,,,,,,6,2014
NON-STRUCTURE FIRE,Other Vehicles,,,,,1,2,,,,,6,2014
NON-STRUCTURE FIRE,"Outside of Structures with value, not vehic.",,,,,1,10,,,,,6,2014
NON-STRUCTURE FIRE,"Brush, Grass, Wildland, (No Value)",,,,,,,,,,,6,2014
NON-STRUCTURE FIRE,"Rubbish, Dumpsters (No Value)",,,,,,,,,,,6,2014
NON-STRUCTURE FIRE,All Other Fires,1,10,,,,,,,,,6,2014
EMERGENCY RESPONSE,Emergency Medical Responses,39,44,72,76,52,58,40,45,,,6,2014
EMERGENCY RESPONSE,Other Rescue,,,,,,,,,,,6,2014
HAZARD,Hazardous Materials,6,50,5,21,3,6,4,25,,,6,2014
HAZARD,Other HazMat Responses,12,48,3,20,12,38,1,1,,,6,2014
FALSE ALARM,False Alarms (system malfunction/accidental),14,57,11,40,13,59,14,65,,,6,2014
FALSE ALARM,False Alarms (intentional/malicious),,,,,,,,,,,6,2014
FALSE ALARM,Other False alarms,23,46,28,89,33,69,32,49,,,6,2014
TRAINING,Training ,,,,,,,,,,,6,2014
TRAINING,Fire safety/prevention events,,,,,,,,,,,6,2014
TRAINING,Other events,,,,,,,,,,,6,2014
INSPECTION,Initial Inspections,,,,,,,,,24,,6,2014
INSPECTION,Re-inspections/follow ups,,,,,,,,,171,,6,2014
INSPECTION,Registrations,,,,,,,,,,,6,2014
MUTUAL AID,Mutual Aid Served Outide Jersey City,9,9,,,,,,,,,6,2014
MUTUAL AID,Mutual Aid Requested with Jersey City,,,,,,,,,,,6,2014
FINES,Fines Imposed,,,,,,,,,,,6,2014
FINES,Fines collected,,,,,,,,,,,6,2014
RESIDENTIAL,Private Dwellings,,,3,24,1,18,1,10,,,7,2014
RESIDENTIAL,Apartments,5,40,1,4,4,29,5,51,,,7,2014
RESIDENTIAL,Hotels and Motels,,,,,,,,,,,7,2014
RESIDENTIAL,All Other Residential,1,15,,,,,,,,,7,2014
STRUCTURE FIRE,Public Assembly,1,4,,,,,,,,,7,2014
STRUCTURE FIRE,Schools and Colleges,,,,,,,,,,,7,2014
STRUCTURE FIRE,Health Care and Penal Institutions,,,,,,,,,,,7,2014
STRUCTURE FIRE,Stores and Offices,,,,,,,,,,,7,2014
STRUCTURE FIRE,"Industry, Utility, Defense, Labs, Manuf.",,,,,,,,,,,7,2014
STRUCTURE FIRE,Storage in Structures,,,,,,,,,,,7,2014
STRUCTURE FIRE,Other Structures,,,,,,,,,,,7,2014
NON-STRUCTURE FIRE,Highway vehicles,1,2,,,1,2,,,,,7,2014
NON-STRUCTURE FIRE,Other Vehicles,,,,,1,2,,,,,7,2014
NON-STRUCTURE FIRE,"Outside of Structures with value, not vehic.",,,,,,,,,,,7,2014
NON-STRUCTURE FIRE,"Brush, Grass, Wildland, (No Value)",,,,,,,,,,,7,2014
NON-STRUCTURE FIRE,"Rubbish, Dumpsters (No Value)",,,,,,,,,,,7,2014
NON-STRUCTURE FIRE,All Other Fires,,,,,,,,,,,7,2014
EMERGENCY RESPONSE,Emergency Medical Responses,33,38,97,98,36,39,42,55,,,7,2014
EMERGENCY RESPONSE,Other Rescue,,,,,,,,,,,7,2014
HAZARD,Hazardous Materials,3,10,4,15,2,9,,,,,7,2014
HAZARD,Other HazMat Responses,4,9,5,38,6,9,2,8,,,7,2014
FALSE ALARM,False Alarms (system malfunction/accidental),29,123,16,67,10,40,16,80,,,7,2014
FALSE ALARM,False Alarms (intentional/malicious),,,,,,,,,,,7,2014
FALSE ALARM,Other False alarms,28,45,42,63,27,53,33,94,,,7,2014
TRAINING,Training ,,,,,,,,,,,7,2014
TRAINING,Fire safety/prevention events,,,,,,,,,,,7,2014
TRAINING,Other events,,,,,,,,,,,7,2014
INSPECTION,Initial Inspections,,,,,,,,,7,,7,2014
INSPECTION,Re-inspections/follow ups,,,,,,,,,85,,7,2014
INSPECTION,Registrations,,,,,,,,,,,7,2014
MUTUAL AID,Mutual Aid Served Outide Jersey City,7,10,,,,,,,,,7,2014
MUTUAL AID,Mutual Aid Requested with Jersey City,,,,,,,,,,,7,2014
FINES,Fines Imposed,,,,,,,,,,,7,2014
FINES,Fines collected,,,,,,,,,,,7,2014
RESIDENTIAL,Private Dwellings,2,9,2,31,1,9,2,19,,,8,2014
RESIDENTIAL,Apartments,1,11,4,23,4,32,4,30,,,8,2014
RESIDENTIAL,Hotels and Motels,2,9,,,,,,,,,8,2014
RESIDENTIAL,All Other Residential,,,,,,,2,10,,,8,2014
STRUCTURE FIRE,Public Assembly,,,,,,,1,2,,,8,2014
STRUCTURE FIRE,Schools and Colleges,,,2,14,,,,,,,8,2014
STRUCTURE FIRE,Health Care and Penal Institutions,,,,,,,,,,,8,2014
STRUCTURE FIRE,Stores and Offices,,,,,,,,,,,8,2014
STRUCTURE FIRE,"Industry, Utility, Defense, Labs, Manuf.",,,,,,,,,,,8,2014
STRUCTURE FIRE,Storage in Structures,,,1,14,,,,,,,8,2014
STRUCTURE FIRE,Other Structures,,,,,,,,,,,8,2014
NON-STRUCTURE FIRE,Highway vehicles,1,2,1,2,1,6,,,,,8,2014
NON-STRUCTURE FIRE,Other Vehicles,,,1,14,,,,,,,8,2014
NON-STRUCTURE FIRE,"Outside of Structures with value, not vehic.",,,,,,,,,,,8,2014
NON-STRUCTURE FIRE,"Brush, Grass, Wildland, (No Value)",,,,,,,,,,,8,2014
NON-STRUCTURE FIRE,"Rubbish, Dumpsters (No Value)",,,,,,,,,,,8,2014
NON-STRUCTURE FIRE,All Other Fires,,,,,,,,,,,8,2014
EMERGENCY RESPONSE,Emergency Medical Responses,39,44,95,97,44,54,50,54,,,8,2014
EMERGENCY RESPONSE,Other Rescue,,,,,,,,,,,8,2014
HAZARD,Hazardous Materials,1,1,4,20,5,19,2,2,,,8,2014
HAZARD,Other HazMat Responses,4,16,6,20,5,11,3,18,,,8,2014
FALSE ALARM,False Alarms (system malfunction/accidental),12,52,11,49,10,43,12,52,,,8,2014
FALSE ALARM,False Alarms (intentional/malicious),,,,,,,,,,,8,2014
FALSE ALARM,Other False alarms,29,38,47,85,27,61,31,53,,,8,2014
TRAINING,Training ,,,,,,,,,,,8,2014
TRAINING,Fire safety/prevention events,,,,,,,,,,,8,2014
TRAINING,Other events,,,,,,,,,,,8,2014
INSPECTION,Initial Inspections,,,,,,,,,10,,8,2014
INSPECTION,Re-inspections/follow ups,,,,,,,,,86,,8,2014
INSPECTION,Registrations,,,,,,,,,,,8,2014
MUTUAL AID,Mutual Aid Served Outide Jersey City,6,7,,,,,,,,,8,2014
MUTUAL AID,Mutual Aid Requested with Jersey City,,,,,,,,,,,8,2014
FINES,Fines Imposed,,,,,,,,,,,8,2014
FINES,Fines collected,,,,,,,,,,,8,2014
RESIDENTIAL,Private Dwellings,2,5,3,26,1,10,1,10,,,9,2014
RESIDENTIAL,Apartments,1,13,1,14,4,16,3,31,,,9,2014
RESIDENTIAL,Hotels and Motels,,,,,,,,,,,9,2014
RESIDENTIAL,All Other Residential,,,,,,,1,9,,,9,2014
STRUCTURE FIRE,Public Assembly,1,4,1,16,,,1,29,,,9,2014
STRUCTURE FIRE,Schools and Colleges,,,,,1,7,,,,,9,2014
STRUCTURE FIRE,Health Care and Penal Institutions,,,3,18,,,,,,,9,2014
STRUCTURE FIRE,Stores and Offices,,,,,,,1,4,,,9,2014
STRUCTURE FIRE,"Industry, Utility, Defense, Labs, Manuf.",,,,,,,,,,,9,2014
STRUCTURE FIRE,Storage in Structures,,,,,,,,,,,9,2014
STRUCTURE FIRE,Other Structures,,,,,,,,,,,9,2014
NON-STRUCTURE FIRE,Highway vehicles,1,2,,,,,,,,,9,2014
NON-STRUCTURE FIRE,Other Vehicles,,,,,,,,,,,9,2014
NON-STRUCTURE FIRE,"Outside of Structures with value, not vehic.",,,,,,,,,,,9,2014
NON-STRUCTURE FIRE,"Brush, Grass, Wildland, (No Value)",,,,,,,,,,,9,2014
NON-STRUCTURE FIRE,"Rubbish, Dumpsters (No Value)",1,2,,,,,,,,,9,2014
NON-STRUCTURE FIRE,All Other Fires,,,1,15,,,,,,,9,2014
EMERGENCY RESPONSE,Emergency Medical Responses,41,42,83,85,40,40,49,52,,,9,2014
EMERGENCY RESPONSE,Other Rescue,,,,,,,,,,,9,2014
HAZARD,Hazardous Materials,3,17,3,12,3,17,5,5,,,9,2014
HAZARD,Other HazMat Responses,2,2,3,9,6,24,1,1,,,9,2014
FALSE ALARM,False Alarms (system malfunction/accidental),17,78,11,52,8,39,17,84,,,9,2014
FALSE ALARM,False Alarms (intentional/malicious),,,,,,,,,,,9,2014
FALSE ALARM,Other False alarms,13,20,28,58,26,43,40,96,,,9,2014
TRAINING,Training ,,,,,,,,,,,9,2014
TRAINING,Fire safety/prevention events,,,,,,,,,,,9,2014
TRAINING,Other events,,,,,,,,,,,9,2014
INSPECTION,Initial Inspections,,,,,,,,,11,,9,2014
INSPECTION,Re-inspections/follow ups,,,,,,,,,122,,9,2014
INSPECTION,Registrations,,,,,,,,,,,9,2014
MUTUAL AID,Mutual Aid Served Outide Jersey City,12,19,,,,,,,,,9,2014
MUTUAL AID,Mutual Aid Requested with Jersey City,,,,,,,,,,,9,2014
FINES,Fines Imposed,,,,,,,,,,,9,2014
FINES,Fines collected,,,,,,,,,,,9,2014
RESIDENTIAL,Private Dwellings,,,2,12,2,14,1,4,,,10,2014
RESIDENTIAL,Apartments,4,59,3,16,1,4,2,14,,,10,2014
RESIDENTIAL,Hotels and Motels,,,,,,,,,,,10,2014
RESIDENTIAL,All Other Residential,1,4,1,9,,,1,16,,,10,2014
STRUCTURE FIRE,Public Assembly,,,,,,,1,12,,,10,2014
STRUCTURE FIRE,Schools and Colleges,,,,,,,,,,,10,2014
STRUCTURE FIRE,Health Care and Penal Institutions,,,,,1,8,1,4,,,10,2014
STRUCTURE FIRE,Stores and Offices,,,,,,,,,,,10,2014
STRUCTURE FIRE,"Industry, Utility, Defense, Labs, Manuf.",,,,,,,,,,,10,2014
STRUCTURE FIRE,Storage in Structures,,,,,,,,,,,10,2014
STRUCTURE FIRE,Other Structures,,,,,1,10,,,,,10,2014
NON-STRUCTURE FIRE,Highway vehicles,,,,,,,,,,,10,2014
NON-STRUCTURE FIRE,Other Vehicles,,,,,,,,,,,10,2014
NON-STRUCTURE FIRE,"Outside of Structures with value, not vehic.",,,,,,,,,,,10,2014
NON-STRUCTURE FIRE,"Brush, Grass, Wildland, (No Value)",,,,,,,,,,,10,2014
NON-STRUCTURE FIRE,"Rubbish, Dumpsters (No Value)",,,,,,,,,,,10,2014
NON-STRUCTURE FIRE,All Other Fires,,,1,11,,,,,,,10,2014
EMERGENCY RESPONSE,Emergency Medical Responses,41,43,86,92,34,36,46,48,,,10,2014
EMERGENCY RESPONSE,Other Rescue,,,,,,,,,,,10,2014
HAZARD,Hazardous Materials,6,29,4,27,2,2,4,24,,,10,2014
HAZARD,Other HazMat Responses,3,4,5,33,4,23,5,7,,,10,2014
FALSE ALARM,False Alarms (system malfunction/accidental),18,92,14,60,18,87,17,75,,,10,2014
FALSE ALARM,False Alarms (intentional/malicious),,,,,,,,,,,10,2014
FALSE ALARM,Other False alarms,21,40,17,39,17,40,24,45,,,10,2014
TRAINING,Training ,,,,,,,,,,,10,2014
TRAINING,Fire safety/prevention events,,,,,,,,,,,10,2014
TRAINING,Other events,,,,,,,,,,,10,2014
INSPECTION,Initial Inspections,,,,,,,,,38,,10,2014
INSPECTION,Re-inspections/follow ups,,,,,,,,,121,,10,2014
INSPECTION,Registrations,,,,,,,,,,,10,2014
MUTUAL AID,Mutual Aid Served Outide Jersey City,,,,,,,,,,,10,2014
MUTUAL AID,Mutual Aid Requested with Jersey City,,,,,,,,,,,10,2014
FINES,Fines Imposed,,,,,,,,,,,10,2014
FINES,Fines collected,,,,,,,,,,,10,2014
RESIDENTIAL,Private Dwellings,,,1,4,1,4,,,,,11,2014
RESIDENTIAL,Apartments,3,24,4,43,,,5,44,,,11,2014
RESIDENTIAL,Hotels and Motels,1,4,,,,,1,13,,,11,2014
RESIDENTIAL,All Other Residential,,,,,,,,,,,11,2014
STRUCTURE FIRE,Public Assembly,1,4,1,10,,,,,,,11,2014
STRUCTURE FIRE,Schools and Colleges,,,,,,,,,,,11,2014
STRUCTURE FIRE,Health Care and Penal Institutions,,,,,,,,,,,11,2014
STRUCTURE FIRE,Stores and Offices,,,1,10,,,,,,,11,2014
STRUCTURE FIRE,"Industry, Utility, Defense, Labs, Manuf.",,,,,,,,,,,11,2014
STRUCTURE FIRE,Storage in Structures,,,,,,,,,,,11,2014
STRUCTURE FIRE,Other Structures,,,,,,,,,,,11,2014
NON-STRUCTURE FIRE,Highway vehicles,,,,,,,,,,,11,2014
NON-STRUCTURE FIRE,Other Vehicles,,,,,,,,,,,11,2014
NON-STRUCTURE FIRE,"Outside of Structures with value, not vehic.",,,,,,,,,,,11,2014
NON-STRUCTURE FIRE,"Brush, Grass, Wildland, (No Value)",,,,,,,,,,,11,2014
NON-STRUCTURE FIRE,"Rubbish, Dumpsters (No Value)",,,,,,,1,2,,,11,2014
NON-STRUCTURE FIRE,All Other Fires,,,,,,,,,,,11,2014
EMERGENCY RESPONSE,Emergency Medical Responses,35,35,85,97,46,47,50,52,,,11,2014
EMERGENCY RESPONSE,Other Rescue,,,,,,,,,,,11,2014
HAZARD,Hazardous Materials,2,10,9,56,4,11,6,35,,,11,2014
HAZARD,Other HazMat Responses,6,24,10,50,7,33,4,24,,,11,2014
FALSE ALARM,False Alarms (system malfunction/accidental),15,57,18,60,10,43,17,91,,,11,2014
FALSE ALARM,False Alarms (intentional/malicious),,,,,,,,,,,11,2014
FALSE ALARM,Other False alarms,43,112,37,132,25,53,30,59,,,11,2014
TRAINING,Training ,,,,,,,,,,,11,2014
TRAINING,Fire safety/prevention events,,,,,,,,,,,11,2014
TRAINING,Other events,,,,,,,,,,,11,2014
INSPECTION,Initial Inspections,,,,,,,,,24,,11,2014
INSPECTION,Re-inspections/follow ups,,,,,,,,,103,,11,2014
INSPECTION,Registrations,,,,,,,,,,,11,2014
MUTUAL AID,Mutual Aid Served Outide Jersey City,12,15,,,,,,,,,11,2014
MUTUAL AID,Mutual Aid Requested with Jersey City,,,,,,,,,,,11,2014
FINES,Fines Imposed,,,,,,,,,,,11,2014
FINES,Fines collected,,,,,,,,,,,11,2014
RESIDENTIAL,Private Dwellings,,,5,75,2,14,1,10,,,12,2014
RESIDENTIAL,Apartments,3,9,4,34,1,4,1,4,,,12,2014
RESIDENTIAL,Hotels and Motels,,,1,12,,,,,,,12,2014
RESIDENTIAL,All Other Residential,,,2,12,,,,,,,12,2014
STRUCTURE FIRE,Public Assembly,,,,,,,2,11,,,12,2014
STRUCTURE FIRE,Schools and Colleges,1,11,1,8,,,,,,,12,2014
STRUCTURE FIRE,Health Care and Penal Institutions,,,,,,,,,,,12,2014
STRUCTURE FIRE,Stores and Offices,3,17,,,,,,,,,12,2014
STRUCTURE FIRE,"Industry, Utility, Defense, Labs, Manuf.",,,,,,,,,,,12,2014
STRUCTURE FIRE,Storage in Structures,,,,,,,,,,,12,2014
STRUCTURE FIRE,Other Structures,,,,,,,1,1,,,12,2014
NON-STRUCTURE FIRE,Highway vehicles,1,2,,,3,7,,,,,12,2014
NON-STRUCTURE FIRE,Other Vehicles,,,1,17,,,,,,,12,2014
NON-STRUCTURE FIRE,"Outside of Structures with value, not vehic.",,,1,1,,,,,,,12,2014
NON-STRUCTURE FIRE,"Brush, Grass, Wildland, (No Value)",,,,,,,,,,,12,2014
NON-STRUCTURE FIRE,"Rubbish, Dumpsters (No Value)",1,10,,,,,1,1,,,12,2014
NON-STRUCTURE FIRE,All Other Fires,,,1,10,,,,,,,12,2014
EMERGENCY RESPONSE,Emergency Medical Responses,39,47,88,90,51,59,57,68,,,12,2014
EMERGENCY RESPONSE,Other Rescue,,,,,,,,,,,12,2014
HAZARD,Hazardous Materials,4,25,4,24,1,8,4,25,,,12,2014
HAZARD,Other HazMat Responses,5,9,1,12,5,8,2,11,,,12,2014
FALSE ALARM,False Alarms (system malfunction/accidental),22,84,10,42,7,40,14,65,,,12,2014
