,Fire Department Name,Fire Department Code,Address,City,State,Zip Code,County Code,County Name,Phone Number,Latitude,Longitude,Location 1
40,ALFRED STATION FIRE DEPARTMENT,2002,623 STATE RTE 244 BOX 282,ALFRED STATION,NY,14803,2,Allegany,6075879201.0,42.268636,-77.75986,"(42.268636, -77.75986)"
41,ALLENTOWN FIRE DEPARTMENT,2003,1966 CHURCH ST PO BOX 82,ALLENTOWN,NY,14707,2,Allegany,5855934020.0,42.12375,-77.94883,"(42.12375, -77.94883)"
42,ALMA FIRE DEPARTMENT,2004,5778 CNTY ROUTE 18 BOX 49,ALMA,NY,14708,2,Allegany,5855930044.0,42.012599,-78.060224,"(42.012599, -78.060224)"
43,ALMOND FIRE DEPARTMENT,2005,1 MARVIN LANE BOX 256,ALMOND,NY,14804,2,Allegany,6072765921.0,42.316386,-77.740698,"(42.316386, -77.740698)"
44,ANDOVER FIRE DEPARTMENT,2006,60 S MAIN ST PO BOX 714,ANDOVER,NY,14806,2,Allegany,6074788361.0,42.154809,-77.79527399999999,"(42.154809, -77.795274)"
45,ANGELICA FIRE DEPARTMENT,2007,85 MAIN ST PO BOX 154,ANGELICA,NY,14709,2,Allegany,5854667621.0,42.307251,-78.020337,"(42.307251, -78.020337)"
46,BELFAST FIRE DEPARTMENT,2008,11 MERTON AVENUE PO BOX 487,BELFAST,NY,14711,2,Allegany,5853652606.0,42.344075,-78.110895,"(42.344075, -78.110895)"
47,BELMONT FIRE DEPARTMENT,2009,80 SCHUYLER STREET,BELMONT,NY,14813,2,Allegany,5852685550.0,42.22457,-78.030511,"(42.22457, -78.030511)"
48,BOLIVAR FIRE DEPARTMENT,2010,460 MAIN ST  PO BOX 483,BOLIVAR,NY,14715,2,Allegany,5859281250.0,42.064374,-78.168037,"(42.064374, -78.168037)"
49,CANASERAGA FIRE DEPARTMENT,2011,10 MAIN ST BOX 322,CANASERAGA,NY,14822,2,Allegany,6075456221.0,42.439640000000004,-77.85099,"(42.43964, -77.85099)"
50,CENTERVILLE MEMORIAL FIRE DEPT,2013,8936 CNTY ROAD 3 BOX 16,CENTERVILLE,NY,14029,2,Allegany,5855678132.0,42.4802,-78.24897,"(42.4802, -78.24897)"
51,CLARKSVILLE FIRE DEPARTMENT,2014,8854 CNTY ROAD 40 BOX 132,WEST CLARKSVILLE,NY,14786,2,Allegany,5859683138.0,42.2186,-78.28209,"(42.2186, -78.28209)"
52,CUBA FIRE DEPARTMENT,2015,51 E MAIN ST PO BOX 84,CUBA,NY,14727,2,Allegany,5859682530.0,42.21782,-78.2883,"(42.21782, -78.2883)"
53,BROOKS FIRE DEPARTMENT,2016,20 S GENESEE ST BOX 53,FILLMORE,NY,14735,2,Allegany,5855678614.0,42.465164,-78.112337,"(42.465164, -78.112337)"
54,FRIENDSHIP FIRE DEPARTMENT,2017,3 DEPOT STREET PO BOX 503,FRIENDSHIP,NY,14739,2,Allegany,5859732371.0,42.208223,-78.133936,"(42.208223, -78.133936)"
55,HOUGHTON FIRE DEPARTMENT,2018,9750 STATE RT 19 PO BOX 96,HOUGHTON,NY,14744,2,Allegany,5855678229.0,42.424165,-78.15597199999999,"(42.424165, -78.155972)"
56,NEW HUDSON FIRE DEPARTMENT,2019,8597 STATE RTE 305 PO BOX 1,BLACK CREEK,NY,14714,2,Allegany,5859681566.0,42.275383000000005,-78.226176,"(42.275383, -78.226176)"
57,ORAMEL FIRE DEPARTMENT,2020,8415 STATE ROUTE 19,BELFAST,NY,14711,2,Allegany,5853652511.0,42.31418,-78.13784,"(42.31418, -78.13784)"
58,RICHBURG FIRE DEPARTMENT,2021,277 MAIN ST PO BOX 74,RICHBURG,NY,14774,2,Allegany,5859281800.0,42.08828,-78.15371999999999,"(42.08828, -78.15372)"
59,RUSHFORD FIRE DEPARTMENT,2022,BOX 223,RUSHFORD,NY,14777,2,Allegany,5854372522.0,42.389617,-78.246587,"(42.389617, -78.246587)"
60,SCIO FIRE DEPARTMENT,2023,4359 CNTY RD 10 PO BOX 231,SCIO,NY,14880,2,Allegany,5855932046.0,42.191917,-77.899663,"(42.191917, -77.899663)"
61,SHORT TRACT FIRE DEPARTMENT,2024,10355 CO RD 15 PO BOX 105,FILLMORE,NY,14735,2,Allegany,5855678075.0,42.438159999999996,-78.07038,"(42.43816, -78.07038)"
62,WELLSVILLE FIRE DEPARTMENT,2025,40 S MAIN ST PO BOX 1156,WELLSVILLE,NY,14895,2,Allegany,5855934980.0,42.11894,-77.943226,"(42.11894, -77.943226)"
63,WHITESVILLE FIRE DEPARTMENT,2026,496 MAIN ST PO BOX 256,WHITESVILLE,NY,14897,2,Allegany,6073563223.0,42.037822,-77.76708199999999,"(42.037822, -77.767082)"
64,WILLING FIRE DEPARTMENT,2027,1395 ST ROUTE 19 SOUTH,WELLSVILLE,NY,14895,2,Allegany,5855932385.0,42.055868,-77.915924,"(42.055868, -77.915924)"
65,WISCOY-ROSSBURG FIRE DEPARTMENT,2028,11490 CO RD 27 PO BOX 171,FILLMORE,NY,14735,2,Allegany,5855678989.0,42.499877000000005,-78.07623000000001,"(42.499877, -78.07623)"
66,BIRDSALL FIRE DEPARTMENT,2029,9040 CO RD 15B PO BOX 162,CANASERAGA,NY,14822,2,Allegany,5854663000.0,42.390335,-77.91577,"(42.390335, -77.91577)"
69,CHENANGO BRIDGE FIRE DEPARTMENT,4005,PO BOX 12,CHENANGO,NY,13745,4,Broome,6076485742.0,42.16892,-75.87468,"(42.16892, -75.87468)"
70,CHENANGO FORKS FIRE DEPARTMENT,4006,PO BOX 139,CHENANGO FORKS,NY,13746,4,Broome,6076484136.0,42.27234,-75.85153000000001,"(42.27234, -75.85153)"
71,CHOCONUT CENTER FIRE DEPARTMENT,4007,1011 MIDDLE STELLA IRELD RD,BINGHAMTON,NY,13905,4,Broome,6077970914.0,42.159209999999995,-75.92738,"(42.15921, -75.92738)"
72,CONKLIN FIRE DEPARTMENT,4008,1032 CONKLIN RD,CONKLIN,NY,13748,4,Broome,6077750370.0,42.078376,-75.823243,"(42.078376, -75.823243)"
73,DEPOSIT FIRE DEPARTMENT,4009,130 SECOND STREET,DEPOSIT,NY,13754,4,Broome,6074672894.0,42.06305,-75.42649,"(42.06305, -75.42649)"
75,ENDICOTT FIRE DEPARMENT,4011,1009 EAST MAIN STREET,ENDICOTT,NY,13760,4,Broome,6077572463.0,42.098898,-76.049109,"(42.098898, -76.049109)"
76,ENDWELL FIRE DEPARTMENT,4012,3508 COUNTRY CLUB ROAD,ENDWELL,NY,13760,4,Broome,6077850985.0,42.116163,-76.01858100000001,"(42.116163, -76.018581)"
77,FIVE MILE POINT FIRE DEPARTMENT,4013,16 CRESCENT DRIVE,KIRKWOOD,NY,13795,4,Broome,6077753322.0,42.091499,-75.82299599999999,"(42.091499, -75.822996)"
78,GLEN AUBREY FIRE DEPARTMENT,4014,PO BOX 328,GLEN AUBREY,NY,13777,4,Broome,6076928230.0,42.2457,-75.98993,"(42.2457, -75.98993)"
79,HARPURSVILLE FIRE DEPARTMENT,4015,2 MAIN STREET PO BOX 98,HARPURSVILLE,NY,13787,4,Broome,6076931454.0,42.178566,-75.624686,"(42.178566, -75.624686)"
80,HILLCREST FIRE DEPARTMENT,4016,1115 AVENUE B,BINGHAMTON,NY,13901,4,Broome,6077782110.0,42.149190000000004,-75.88387900000001,"(42.14919, -75.883879)"
81,JOHNSON CITY FIRE DEPARTMENT,4018,320 HARRY L DRIVE,JOHNSON CITY,NY,13790,4,Broome,6077299512.0,42.122658,-75.961976,"(42.122658, -75.961976)"
82,KILLAWOG FIRE DEPARTMENT,4019,PO BOX 13,KILLAWOG,NY,13794,4,Broome,6078496194.0,42.400459999999995,-76.02046,"(42.40046, -76.02046)"
83,KIRKWOOD FIRE DEPARTMENT,4020,297 MAIN STREET,KIRKWOOD,NY,13795,4,Broome,6077752411.0,42.03948,-75.797248,"(42.03948, -75.797248)"
84,LISLE FIRE DEPARTMENT,4021,ST RT 79 PO BOX 306,LISLE,NY,13797,4,Broome,6076923411.0,42.353093,-76.01085,"(42.353093, -76.01085)"
85,MAINE FIRE DEPARTMENT,4022,29 MC GREGOR AVE PO BOX 357,MAINE,NY,13802,4,Broome,6078623927.0,42.23717,-76.05457,"(42.23717, -76.05457)"
86,NANTICOKE FIRE DEPARTMENT,4023,1042 NANTICOKE ROAD,MAINE,NY,13802,4,Broome,6078623296.0,42.269490000000005,-76.05480899999999,"(42.26949, -76.054809)"
87,OUAQUAGA FIRE DEPARTMENT,4025,PO BOX 5,WINDSOR,NY,13865,4,Broome,6076551913.0,42.11097,-75.64151,"(42.11097, -75.64151)"
89,PORT DICKINSON FIRE DEPARTMENT,4027,786 CHENANGO STREET,BINGHAMTON,NY,13901,4,Broome,6077221256.0,42.138373,-75.89541,"(42.138373, -75.89541)"
90,PROSPECT TERRACE FIRE DEPARTMENT,4028,PROSPECT ST & GIRARD AVE,BINGHAMTON,NY,13905,4,Broome,6077293741.0,42.11418,-75.93491,"(42.11418, -75.93491)"
91,SANITARIA SPRINGS FIRE DEPT,4029,811 NY ROUTE 7,SANITARIA SPRINGS,NY,13833,4,Broome,6076482332.0,42.189609999999995,-75.78658,"(42.18961, -75.78658)"
92,TOWN OF BINGHAMTON DEPARTMENT,4030,22 REXFORD STREET,BINGHAMTON,NY,13903,4,Broome,6076694146.0,42.069611,-75.918801,"(42.069611, -75.918801)"
94,UNION CENTER FIRE COMPANY INC,4032,PO BOX 8800,ENDICOTT,NY,13762,4,Broome,6077481321.0,42.120709999999995,-76.05295,"(42.12071, -76.05295)"
95,VESTAL FIRE DEPARTMENT,4034,605 VESTAL PARKWAY WEST,VESTAL,NY,13850,4,Broome,6077481514.0,42.083166,-76.065433,"(42.083166, -76.065433)"
97,WEST CORNERS FIRE DEPARTMENT,4036,500 DAY HOLLOW ROAD,ENDICOTT,NY,13760,4,Broome,6077854185.0,42.111249,-76.073003,"(42.111249, -76.073003)"
99,WEST WINDSOR FIRE DEPARTMENT,4038,8 CARLA DRIVE,WINDSOR,NY,13865,4,Broome,6077752918.0,42.096876,-75.76490600000001,"(42.096876, -75.764906)"
100,WHITNEY POINT FIRE DEPARTMENT,4039,32 N PARSONS DR,WHITNEY POINT,NY,13862,4,Broome,6076923845.0,42.328955,-75.967353,"(42.328955, -75.967353)"
102,ALLEGANY FIRE DEPARTMENT,5001,PO BOX 95,ALLEGANY,NY,14706-0095,5,Cattaraugus,7163730477.0,42.094612,-78.49954,"(42.094612, -78.49954)"
103,CATTARAUGUS FIRE DEPARTMENT,5002,MEMORIAL DRIVE,CATTARAUGUS,NY,14719,5,Cattaraugus,7169389491.0,42.319333,-78.866453,"(42.319333, -78.866453)"
105,DAYTON FIRE DEPARTMENT,5004,12749 COTTAGE ROAD,SOUTH DAYTON,NY,14138,5,Cattaraugus,7165322627.0,42.40311,-78.97281,"(42.40311, -78.97281)"
106,DELEVAN FIRE DEPARTMENT,5005,85 S MAIN ST PO BOX 218,DELEVAN,NY,14042,0,Cattaraugus,7164920945.0,42.488256,-78.48040999999999,"(42.488256, -78.48041)"
108,EAST RANDOLPH FIRE DEPARTMENT,5007,147 MAIN STREET ER,EAST RANDOLPH,NY,14730,5,Cattaraugus,7163586070.0,42.171685,-78.94941,"(42.171685, -78.94941)"
109,ELLICOTTVILLE FIRE DEPARTMENT,5008,PO BOX 397,ELLICOTTVILLE,NY,14731,5,Cattaraugus,7166992717.0,42.2971,-78.64981999999999,"(42.2971, -78.64982)"
110,FARMERSVILLE FIRE DEPARTMENT,5009,ELTON ROAD,FARMERSVILLE STATION,NY,14060,5,Cattaraugus,7166765717.0,42.428311,-78.359776,"(42.428311, -78.359776)"
111,FRANKLINVILLE FIRE DEPARTMENT,5010,75 NORTH MAIN ST PO BOX 74,FRANKLINVILLE,NY,14737,5,Cattaraugus,7166762539.0,42.342979,-78.455747,"(42.342979, -78.455747)"
113,GOWANDA FIRE DEPARTMENT,5012,230 ALDRICH STREET,GOWANDA,NY,14070,5,Cattaraugus,7165323434.0,42.468796000000005,-78.941678,"(42.468796, -78.941678)"
114,HINSDALE FIRE DEPARTMENT,5013,MAIN STREET,HINSDALE,NY,14743,5,Cattaraugus,7163734119.0,42.169456,-78.383949,"(42.169456, -78.383949)"
115,ISCHUA FIRE DEPARTMENT,5014,ROUTE 16,ISCHUA,NY,14746,5,Cattaraugus,7163780177.0,42.169456,-78.383949,"(42.169456, -78.383949)"
117,KNAPP CREEK FIRE DEPARTMENT,5016,253 NYS ROUTE 16 SOUTH,KNAPP CREEK,NY,14760,5,Cattaraugus,7163724523.0,42.077415,-78.43251,"(42.077415, -78.43251)"
118,MANSFIELD FIRE DEPARTMENT,5017,RFD 1 BOX 69 MAPLES,LITTLE VALLEY,NY,14755,5,Cattaraugus,7166995401.0,42.333312,-78.73539699999999,"(42.333312, -78.735397)"
119,LITTLE VALLEY FIRE DEPARTMENT,5018,101 3RD STREET,LITTLE VALLEY,NY,14755,5,Cattaraugus,7169389151.0,42.248853000000004,-78.797557,"(42.248853, -78.797557)"
120,LIMESTONE FIRE DEPARTMENT,5019,631 MAIN STREET,LIMESTONE,NY,14753,5,Cattaraugus,7169258813.0,42.026175,-78.628962,"(42.026175, -78.628962)"
122,MACHIAS FIRE DEPARTMENT,5021,9548 MAIN STREET,MACHIAS,NY,14101,5,Cattaraugus,7163534611.0,42.414357,-78.492458,"(42.414357, -78.492458)"
123,OLEAN FIRE DEPARTMENT (CITY),5022,542 NORTH UNION STREET,OLEAN,NY,14760,5,Cattaraugus,7163765609.0,42.08635,-78.42987600000001,"(42.08635, -78.429876)"
125,OTTO FIRE DEPARTMENT,5024,8960 OTTO - EAST OTTO ROAD,CATTARAUGUS,NY,14719-9645,5,Cattaraugus,7162579776.0,42.355976,-78.830843,"(42.355976, -78.830843)"
126,PERRYSBURG FIRE DEPARTMENT,5025,11949 MAIN STREET,PERRYSBURG,NY,14129,5,Cattaraugus,7165324441.0,42.45649,-79.002499,"(42.45649, -79.002499)"
128,RANDOLPH FIRE DEPARTMENT,5027,70 MAIN STREET,RANDOLPH,NY,14772,5,Cattaraugus,7163589300.0,42.172602000000005,-78.947487,"(42.172602, -78.947487)"
129,SALAMANCA FIRE DEPARTMENT,5028,225 WILDWOOD AVENUE,SALAMANCA,NY,14779,5,Cattaraugus,7169453311.0,42.156797999999995,-78.7075,"(42.156798, -78.7075)"
130,SOUTH DAYTON FIRE DEPARTMENT,5029,34 MAPLE STREET  PO BOX 88,SOUTH DAYTON,NY,14138,5,Cattaraugus,7169885153.0,42.361729,-79.04873,"(42.361729, -79.04873)"
131,COLDSPRING FIRE DEPARTMENT,5030,2603 RT 394,STEAMBURG,NY,14783,5,Cattaraugus,7163545425.0,42.108803,-78.911384,"(42.108803, -78.911384)"
132,VERSAILLES FIRE DEPARTMENT,5031,BUFFALO ROAD,VERSAILLES,NY,14168,5,Cattaraugus,7165324065.0,42.520164,-78.994416,"(42.520164, -78.994416)"
133,WESTONS MILLS FIRE DEPT,5032,PO BOX 601,WESTON MILLS,NY,14788,5,Cattaraugus,7163720280.0,42.062059999999995,-78.3782,"(42.06206, -78.3782)"
134,WEST VALLEY FIRE DEPARTMENT,5033,PO BOX 289,WEST VALLEY,NY,14171,5,Cattaraugus,7169423768.0,42.41152,-78.65312,"(42.41152, -78.65312)"
135,YORKSHIRE FIRE DEPARTMENT,5034,12211 CHURCH STREET,YORKSHIRE,NY,14173,5,Cattaraugus,7164924470.0,42.52949,-78.47811999999999,"(42.52949, -78.47812)"
136,LYNDON FIRE DEPARTMENT,5035,6943 ABBOTT ROAD,FRANKLINVILLE,NY,14737,5,Cattaraugus,7166765150.0,42.305095,-78.350587,"(42.305095, -78.350587)"
138,AUBURN CITY FIRE DEPARTMENT,6001,23 MARKET STREET,AUBURN,NY,13021,6,Cayuga,3152534031.0,42.933196,-76.56558000000001,"(42.933196, -76.56558)"
139,AURELIUS FIRE DEPARTMENT,6002,1241 W GENESEE STREET ROAD,AUBURN,NY,13021,6,Cayuga,3152520039.0,42.923817,-76.62485799999999,"(42.923817, -76.624858)"
140,AURORA FIRE DEPARTMENT,6003,456 MAIN STREET,AURORA,NY,13026,6,Cayuga,3153648590.0,42.757976,-76.70362,"(42.757976, -76.70362)"
141,CATO FIRE DEPARTMENT,6004,2569 E MAIN STREET,CATO,NY,13033,6,Cayuga,3156262393.0,43.175153,-76.553605,"(43.175153, -76.553605)"
143,FAIR HAVEN FIRE DEPARTMENT,6006,14430 FAIR HAVEN RD POB 334,FAIR HAVEN,NY,13064,6,Cayuga,3159475145.0,43.313855,-76.699919,"(43.313855, -76.699919)"
144,FLEMING #1 FIRE DEPARTMENT,6007,6063 WEST LAKE ROAD,AUBURN,NY,13021,6,Cayuga,3152526902.0,42.895616,-76.55104200000001,"(42.895616, -76.551042)"
145,FLEMING #2 FIRE DEPARTMENT,6008,5024 STATE RT 34,AUBURN,NY,13021,6,Cayuga,3152527371.0,42.92239,-76.56369000000001,"(42.92239, -76.56369)"
146,GENOA FIRE DEPARTMENT,6009,10015 RT 90,GENOA,NY,13071,6,Cayuga,3154970009.0,42.66778,-76.538061,"(42.66778, -76.538061)"
147,IRA FIRE DEPARTMENT,6010,12591 STATE ROUTE 176,CATO,NY,13033,6,Cayuga,3156262607.0,43.25495,-76.56449,"(43.25495, -76.56449)"
148,KING FERRY FIRE DEPARTMENT,6011,1009 ROUTE 34B PO BOX 419,KING FERRY,NY,13081,6,Cayuga,3153648940.0,42.67139,-76.61901,"(42.67139, -76.61901)"
149,LOCKE FIRE DEPARTMENT,6012,900 MAIN STREET  BOX 78,LOCKE,NY,13092,6,Cayuga,3154970595.0,42.663470000000004,-76.43075999999999,"(42.66347, -76.43076)"
150,MERIDIAN FIRE DEPARTMENT,6013,11375 FERRIS ROAD,MERIDIAN,NY,13113,6,Cayuga,3156263167.0,43.169435,-76.53723000000001,"(43.169435, -76.53723)"
151,MORAVIA FIRE DEPARTMENT,6014,38 KEELER AVE PO BOX 686,MORAVIA,NY,13118,6,Cayuga,3154971700.0,42.715114,-76.424566,"(42.715114, -76.424566)"
152,MONTEZUMA FIRE DEPARTMENT,6015,8115 HIGH ST BOX 381,MONTEZUMA,NY,13117,6,Cayuga,3157764316.0,43.010267,-76.703687,"(43.010267, -76.703687)"
153,NEW HOPE FIRE DEPARTMENT,6016,5947 NEW HOPE ROAD,MORAVIA,NY,13118,6,Cayuga,3154970448.0,42.797917,-76.349131,"(42.797917, -76.349131)"
154,OWASCO FIRE DEPARTMENT,6017,7174 OWASCO ROAD,AUBURN,NY,13021,6,Cayuga,3152539197.0,42.916603,-76.545537,"(42.916603, -76.545537)"
155,POPLAR RIDGE FIRE DEPARTMENT,6018,PO BOX 55,POLAR RIDGE,NY,13139,6,Cayuga,3153647344.0,42.73843,-76.61771999999999,"(42.73843, -76.61772)"
156,PORT BYRON FIRE DEPARTMENT,6019,50 UTICA ST,PORT BYRON,NY,13181,6,Cayuga,3157768670.0,43.036497999999995,-76.621459,"(43.036498, -76.621459)"
157,SCIPIO CENTER FIRE DEPARTMENT,6020,3550 ROUTE 34,SCIPIO CENTER,NY,13147,6,Cayuga,3153647323.0,42.783229999999996,-76.56877,"(42.78323, -76.56877)"
158,SENNETT FIRE DEPARTMENT,6021,PO BOX 1524,AUBURN,NY,13021,6,Cayuga,3152523993.0,42.92239,-76.56369000000001,"(42.92239, -76.56369)"
159,THROOP FIRE DEPARTMENT,6022,7159 BEECH TREE RD,AUBURN,NY,13021,6,Cayuga,3152524051.0,42.963196999999994,-76.606987,"(42.963197, -76.606987)"
160,UNION SPRINGS FIRE DEPARTMENT,6023,257 CAYUGA STREET,UNION SPRINGS,NY,13160,6,Cayuga,3158897288.0,42.852348,-76.69077,"(42.852348, -76.69077)"
161,VICTORY FIRE DEPARTMENT,6024,12009 ROUTE 38,CATO,NY,13033,6,Cayuga,3156266682.0,43.17423,-76.55246,"(43.17423, -76.55246)"
163,LONG HILL FIRE DEPARTMENT,6026,3513 LONG HILL ROAD,VENICE CENTER,NY,13147,6,Cayuga,3154973805.0,42.739826,-76.508616,"(42.739826, -76.508616)"
